chunk_size,num_chunks,f1_score,avg_latency,precision,recall
128,56,0.0,0.0014079093933105468,0.0,0.0
256,27,0.1006216318185758,0.0012202501296997071,0.05780490842042714,0.4
512,13,0.010317460317460317,0.0010210037231445312,0.005420393559928444,0.11000000000000001
768,9,0.008530805687203791,0.0005197286605834961,0.004455445544554455,0.1
1024,7,0.03227663893678373,0.0007615089416503906,0.016686737567495093,0.5
1280,6,0.02450751671689032,0.0006982326507568359,0.012639938979938144,0.45714285714285713
1536,5,0.035380206841507875,0.0005354642868041992,0.018170542055046857,0.7
2048,4,0.029979761988473196,0.0009808063507080079,0.01526260702214154,0.9
2560,3,0.029156047626052617,0.0006092309951782227,0.014814814814814814,1.0
