token_size,num_chunks,f1_score,ndcg_score,coverage,avg_latency
512,14,0.02906949896097899,0.0012911801546751601,1.0,0.0008065700531005859
768,10,0.013036856533658239,0.0011078275987041564,1.0,0.0008689403533935547
1024,7,0.03662976719392087,0.0010046102743719377,1.0,0.0021923065185546877
1280,6,0.027131742394107504,0.0009222267174923464,1.0,0.001204061508178711
1536,5,0.03133240432472866,0.0008711892197910426,1.0,0.0011263370513916015
1792,4,0.026479729870460995,0.00025443651643447806,1.0,0.0007353544235229493
2048,4,0.022985888132966183,0.00048228310350377447,1.0,0.0009288549423217774
