K,text_only_ndcg,fused_ndcg,improvement
1,0.8555697925493658,0.8555697925493658,0.0
2,0.9217315370766956,0.8923723319179712,-0.029359205158724477
3,0.912172784749676,0.8966668171905143,-0.01550596755916167
4,0.8736853892995011,0.9070686547577901,0.03338326545828896
5,0.8474453199669048,0.8818016747369741,0.034356354770069375
6,0.8754812829264736,0.9097760629392942,0.0342947800128206
7,0.88584045532662,0.8999971615025386,0.014156706175918576
8,0.8980409794012916,0.9053184588435669,0.007277479442275303
9,0.9124393675630627,0.9063615558682958,-0.006077811694766844
10,0.9230966723719476,0.917339855288149,-0.005756817083798604
